Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Suchá Loz[]	37	19	19	18	19	18	21	19	34	35	8	8	4	4	31	31	40	40	29	18	25	12	13	14	20	21	20	18	18	34	38	49	29	13	14	14	11	54	31	45	63	45	30	25	37	41	41	34	12	7	27	32	45	51	48	43	19	20	39	22	18	47	15	40	30	30	17	17	19	17	19	18	39	1	5	0	34	38	28	29	34	27	31	28	30	30	11	11	12	12	12	12	11	11	11	10	14	11	36	36	37	37	18	25	37	16	16	16	16	21	23	19	19	30	46	24	14	20	28
Topolná[]	22	41	41	40	41	46	39	41	26	27	38	38	31	31	4	4	30	30	9	48	18	35	35	36	30	29	30	41	25	20	25	34	16	44	44	44	38	46	24	31	31	29	22	32	10	8	8	26	34	33	31	24	37	18	15	35	16	22	31	24	39	33	37	32	16	20	47	47	49	45	47	46	31	35	35	34	0	30	14	16	9	16	11	15	15	17	24	24	23	28	25	23	25	24	24	25	26	24	31	31	32	24	24	18	36	29	29	29	29	51	53	49	49	14	26	11	30	50	15
Tučapy[]	21	45	45	45	45	50	48	39	5	9	42	42	35	35	27	27	15	15	32	51	41	34	35	34	28	27	28	40	22	18	20	32	39	48	48	48	41	27	14	28	47	28	20	45	29	35	34	9	38	35	29	22	12	38	35	5	37	20	7	21	44	25	37	16	16	12	51	51	53	48	49	49	8	39	38	38	30	0	17	19	23	18	20	18	21	20	29	29	30	30	31	29	29	30	29	30	27	29	21	21	25	16	21	41	26	26	26	26	26	55	57	53	53	37	48	34	34	54	18
Uherské Hradiště,,aut.nádr.[]	10	35	35	34	35	40	37	28	13	14	31	31	25	25	10	10	17	17	15	41	25	24	24	23	17	16	17	30	12	7	11	21	22	37	38	38	31	33	10	18	41	17	9	34	12	20	20	13	28	25	18	11	24	28	24	22	22	9	18	10	33	20	26	19	3	7	40	40	42	37	39	39	18	28	28	28	14	17	0	3	6	4	3	4	4	4	19	19	19	20	21	19	19	20	19	20	16	19	18	18	19	11	11	24	23	16	16	16	16	44	47	42	43	20	37	17	24	43	3
Uherské Hradiště,,nemocnice[]	11	36	36	35	36	41	39	29	15	15	33	33	26	26	12	13	18	19	17	42	27	25	26	25	18	17	18	31	13	9	13	23	24	38	39	39	32	34	12	19	42	19	10	36	14	23	22	15	29	26	19	12	26	29	26	24	24	11	20	12	35	22	28	21	4	8	42	42	44	39	40	40	19	30	29	29	16	19	3	0	9	5	6	6	6	2	20	20	21	21	22	20	20	21	20	21	18	20	19	19	20	13	12	26	24	17	17	17	17	46	48	44	44	22	38	19	25	45	4
Uherské Hradiště,Jarošov,náves[]	16	41	41	40	41	45	41	34	19	20	37	37	31	30	6	6	22	23	11	46	20	30	30	29	23	22	23	36	18	13	17	27	18	43	44	44	37	39	16	23	38	23	15	34	8	16	16	19	34	31	24	17	30	26	23	28	17	15	24	16	39	26	32	25	9	13	46	46	48	43	45	44	24	34	34	33	9	23	6	9	0	9	3	8	7	10	25	24	24	26	26	25	24	25	25	26	22	25	24	24	25	17	17	19	29	22	22	22	22	50	53	48	48	15	33	12	30	49	8
Uherské Hradiště,Mařatice,Derflanská[]	13	34	34	34	34	39	37	27	14	14	31	31	24	24	12	12	20	20	17	40	26	24	24	23	17	16	17	30	12	11	15	25	24	37	37	37	30	34	11	21	44	21	9	34	14	22	22	14	28	25	17	11	25	31	28	23	24	9	19	10	33	24	26	20	6	10	40	40	42	37	38	38	19	28	27	27	16	18	4	5	8	0	5	1	4	6	19	18	19	19	20	18	18	19	19	19	16	19	17	17	18	15	11	26	23	16	16	16	16	44	46	42	42	22	39	19	24	43	4
Uherské Hradiště,Mařatice,Jaktáře[]	13	38	38	37	38	42	40	31	16	17	34	34	28	28	7	7	19	20	12	44	22	27	27	26	20	19	20	33	15	10	14	24	19	40	41	41	34	36	13	20	40	20	12	35	9	17	17	16	31	28	21	14	27	27	24	25	19	12	21	13	36	23	29	22	6	10	43	43	45	40	42	41	21	31	31	30	11	20	3	6	3	6	0	5	4	7	22	22	22	23	24	22	22	23	22	23	19	22	21	21	22	14	14	21	26	19	19	19	19	47	50	45	46	17	34	14	27	46	5
Uherské Hradiště,Mařatice,R.Kubíčka[]	13	35	35	35	35	40	38	28	15	15	32	32	25	25	11	11	20	21	16	41	26	25	25	24	18	17	18	31	12	11	15	25	23	38	38	38	31	35	12	21	44	21	10	35	13	21	21	15	29	26	18	12	26	31	28	24	23	10	19	11	34	24	27	21	6	10	41	41	43	38	39	39	20	29	28	28	15	19	4	6	7	1	5	0	3	7	19	19	20	20	21	19	19	20	20	20	17	20	18	18	19	14	11	25	24	16	16	16	16	45	47	43	43	21	38	18	24	44	5
Uherské Hradiště,Mařatice,hřbitov točna[]	14	38	38	37	38	42	40	30	17	17	34	34	28	27	11	11	20	21	16	43	25	27	27	26	20	19	20	33	15	11	15	25	23	40	40	40	33	37	14	21	43	21	12	37	13	21	21	17	31	28	20	14	28	31	28	26	22	12	22	13	36	24	29	23	7	11	43	43	45	40	42	41	22	31	30	30	14	21	4	7	7	4	4	3	0	8	22	21	22	23	23	21	21	23	22	22	19	22	21	20	21	15	14	24	26	19	19	19	19	47	49	45	45	21	38	18	27	46	6
Uherské Hradiště,Štěpnice,U Olšávky[]	12	37	37	37	37	42	40	30	16	16	34	34	27	27	14	14	19	20	19	43	28	26	27	26	19	19	20	32	14	10	14	24	25	40	40	40	33	36	13	20	44	20	11	37	15	24	23	16	30	27	20	14	27	30	27	25	25	12	21	13	36	23	29	22	6	9	43	43	45	40	41	41	20	31	30	30	17	20	4	2	10	6	7	7	8	0	21	21	22	22	23	21	21	22	21	22	19	21	20	20	21	14	13	27	25	18	18	18	18	47	49	45	45	23	39	20	26	46	5
Uherský Brod,,Dům kultury[]	28	19	19	18	19	23	21	19	25	26	16	16	9	9	20	21	31	32	18	25	14	12	12	13	15	15	15	18	9	26	29	40	18	21	22	22	15	45	22	36	53	36	21	17	26	31	30	25	12	10	22	23	37	41	37	34	9	12	30	13	17	38	14	31	21	21	25	25	27	22	24	23	30	13	12	12	24	29	19	20	25	19	22	19	22	21	0	1	2	5	3	2	2	2	1	3	4	1	30	30	31	29	9	15	35	8	8	8	8	29	31	27	27	20	36	14	8	28	19
Uherský Brod,,Mariánské náměstí[]	28	19	19	18	19	23	21	18	25	26	15	15	9	9	20	20	31	31	18	25	14	12	12	13	14	15	14	18	9	26	29	40	18	21	22	22	15	45	22	36	53	36	21	17	26	30	30	25	12	10	22	23	36	41	37	34	9	12	30	13	17	38	14	31	21	21	25	25	27	22	23	23	30	13	12	12	24	29	19	20	25	18	22	19	22	21	1	0	1	4	3	2	2	2	1	3	3	1	30	29	31	28	9	15	35	8	8	8	8	28	31	27	27	19	36	13	8	28	19
Uherský Brod,,Prakšická[]	28	19	19	18	19	23	21	19	26	26	16	16	9	9	19	20	31	32	17	26	13	12	13	14	15	16	15	18	10	26	29	40	17	21	22	22	16	45	22	36	52	36	21	17	25	30	29	25	12	11	22	23	37	40	36	35	8	12	30	14	17	38	15	31	22	21	25	25	27	23	24	24	30	13	13	12	23	30	19	21	24	19	22	20	22	22	2	1	0	5	3	1	3	2	2	3	4	2	30	30	31	29	9	14	35	9	9	9	9	29	31	27	27	19	35	13	8	28	19
