Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Uherský Brod,,Slovácké strojírny[]	29	19	19	19	19	24	22	15	27	27	16	16	9	9	24	24	32	33	22	21	18	8	8	9	15	16	15	14	11	27	30	41	22	22	22	22	11	46	23	37	57	37	22	19	30	34	34	26	13	6	23	24	38	44	41	35	12	13	31	15	18	39	10	32	22	22	25	25	27	18	19	19	31	12	8	12	28	31	20	21	26	20	23	21	23	22	4	5	5	0	5	6	4	5	5	4	6	5	31	31	32	30	10	19	32	9	9	9	9	29	31	27	27	23	40	17	8	28	20
Uherský Brod,,Větrná[]	30	18	18	18	18	23	21	20	27	28	15	15	9	9	22	22	33	33	20	26	15	13	13	14	16	17	16	19	11	27	31	42	19	21	22	22	16	47	24	38	54	38	23	16	28	32	32	27	12	11	24	25	38	42	38	36	10	13	32	15	17	40	15	33	23	23	24	25	27	23	24	24	32	13	13	12	25	31	21	22	26	20	24	21	23	23	3	3	3	6	0	3	3	1	3	2	5	3	32	31	32	30	11	16	37	10	10	10	10	28	31	27	27	21	37	15	8	27	21
Uherský Brod,,ZŠ Na Výsluní[]	28	19	19	18	19	24	22	20	25	26	16	16	9	9	20	20	31	32	18	26	14	13	13	14	15	15	14	19	9	26	29	40	18	22	22	22	16	45	22	36	52	36	21	18	26	30	30	25	12	11	22	23	36	40	37	34	8	12	30	13	17	38	15	31	21	21	25	25	27	23	25	24	30	13	13	12	23	29	19	20	25	19	22	19	22	21	2	2	1	6	3	0	2	2	2	3	4	2	30	30	31	29	9	14	35	8	8	8	8	29	31	27	27	19	36	13	8	28	19
Uherský Brod,,dopravní terminál[]	28	18	18	18	18	23	21	18	25	26	15	15	9	8	22	22	31	31	20	24	15	11	11	12	14	15	14	17	9	26	29	40	20	21	21	22	15	45	22	36	54	36	21	17	28	32	32	25	12	9	22	23	36	42	39	34	10	12	30	13	17	38	13	31	21	21	24	24	26	21	23	22	30	12	12	11	25	29	19	20	25	18	22	19	22	21	2	2	3	4	3	2	0	3	2	2	3	2	30	29	31	28	9	16	35	8	8	8	8	28	31	26	26	21	38	15	8	27	19
Uherský Brod,,poliklinika[]	29	18	18	17	18	23	21	19	26	27	15	15	9	8	21	21	32	32	19	26	14	12	13	14	15	16	15	18	10	26	30	41	18	21	21	21	16	46	23	37	53	37	22	17	27	31	31	26	11	10	23	24	37	41	38	35	9	12	31	14	16	39	15	32	22	22	24	24	26	23	24	24	31	12	13	11	24	30	20	21	26	19	23	20	23	22	2	2	2	5	1	2	3	0	2	2	4	2	31	30	31	29	10	15	36	9	9	9	9	28	30	26	26	20	37	14	7	27	20
Uherský Brod,,sídliště Olšava[]	28	19	19	18	19	23	21	19	25	26	15	15	9	9	20	20	31	32	18	25	14	12	12	13	15	15	14	18	9	26	29	40	18	21	22	22	15	45	22	36	53	36	21	17	26	30	30	25	12	10	22	23	36	41	37	34	9	12	30	13	17	38	14	31	21	21	25	25	27	22	23	23	30	13	12	12	24	29	19	20	25	19	22	19	22	21	1	1	1	5	3	2	2	2	0	3	4	0	30	30	31	29	9	15	35	8	8	8	8	29	31	27	27	19	36	13	8	28	19
Uherský Brod,,Šumická[]	29	17	17	16	17	21	19	18	26	27	13	13	7	7	22	22	32	33	20	25	15	11	12	13	15	16	15	17	10	27	30	41	20	19	20	20	15	46	23	37	54	37	22	15	28	32	32	26	10	9	22	24	37	42	39	35	10	13	31	14	15	39	14	32	22	22	23	23	25	22	23	23	31	11	12	10	25	30	20	21	26	20	23	20	23	22	2	2	3	4	2	3	3	2	2	0	5	2	31	31	32	30	10	16	36	8	8	8	8	26	29	25	25	21	36	15	6	26	20
Uherský Brod,Havřice[]	26	21	21	20	21	26	24	20	23	23	18	18	11	11	23	23	28	29	21	27	17	13	14	15	12	13	12	19	6	23	26	37	21	23	24	24	17	42	20	33	56	33	18	20	28	33	33	22	14	11	20	21	34	43	40	32	11	9	27	11	20	35	16	29	19	19	27	27	29	24	25	25	27	15	14	14	26	27	16	18	22	16	19	17	19	19	4	3	4	6	6	4	3	5	4	5	0	4	27	27	28	26	6	17	32	6	6	6	6	31	33	29	29	22	39	16	10	30	16
Uherský Brod,Újezdec,žel.st.[]	28	19	19	18	19	23	21	19	25	26	15	15	9	9	20	20	31	32	18	25	14	12	12	13	15	15	14	18	9	26	29	40	18	21	22	22	15	45	22	36	53	36	21	17	26	30	30	25	12	10	22	23	36	41	37	34	9	12	30	13	17	38	14	31	21	21	25	25	27	22	23	23	30	13	12	12	24	29	19	20	25	19	22	19	22	21	1	1	1	5	3	2	2	2	0	3	4	0	30	30	31	29	9	15	35	8	8	8	8	29	31	27	27	19	36	13	8	28	19
Uherský Ostroh,,náměstí[]	27	46	46	45	46	50	48	20	20	25	42	42	36	35	28	28	28	29	33	44	42	24	24	23	16	15	16	27	23	25	29	39	39	48	48	48	35	38	20	35	58	35	17	45	30	38	38	15	39	29	11	7	23	45	42	19	37	20	14	21	44	37	23	31	20	21	51	51	53	37	38	38	25	35	32	36	31	21	18	19	24	17	21	18	21	20	30	29	30	31	31	29	29	31	30	30	27	30	0	1	5	28	22	41	9	23	23	23	23	55	57	53	53	37	54	34	35	54	18
Uherský Ostroh,,točna[]	27	45	45	45	45	50	48	20	20	25	42	42	35	35	27	27	28	29	32	44	42	24	23	23	16	15	16	27	23	24	29	38	39	48	48	48	34	38	20	35	58	35	17	45	29	37	37	15	39	29	11	7	24	45	41	20	37	20	14	21	44	37	23	31	20	21	51	51	53	36	38	37	25	35	31	36	31	21	18	19	24	17	21	18	20	20	30	29	30	30	31	29	29	30	30	30	27	30	1	0	5	28	21	41	9	23	23	23	23	55	57	53	53	37	54	34	35	54	18
Uherský Ostroh,,závod ČD[]	28	47	47	46	47	51	49	21	24	27	43	43	37	36	29	29	32	32	34	45	43	25	24	24	17	16	17	28	24	25	30	39	40	49	49	49	35	42	23	36	59	36	18	46	30	39	38	19	40	30	12	8	28	46	42	24	38	21	18	22	45	38	24	32	21	22	52	52	54	37	39	38	29	36	32	37	32	25	19	20	25	18	22	19	21	21	31	30	31	32	32	30	30	31	31	31	28	31	5	5	0	29	23	42	5	24	24	24	24	56	58	54	54	38	55	35	36	55	19
Velehrad,,náměstí[]	13	45	45	44	45	50	47	38	12	10	41	41	35	35	21	21	10	10	26	51	35	34	34	34	28	27	28	40	22	11	11	23	33	47	48	48	41	31	13	19	39	21	20	44	23	28	27	14	38	35	28	22	23	31	28	21	32	19	19	20	43	10	36	18	9	9	50	50	52	47	49	48	16	38	38	37	24	16	11	13	17	15	14	14	15	14	29	29	29	30	31	29	29	30	29	30	26	29	28	28	29	0	21	34	33	26	26	26	26	54	57	52	53	31	40	28	34	53	13
Veletiny,,křiž.[]	20	25	25	24	25	30	28	21	18	18	21	21	15	15	21	21	23	24	26	31	22	14	14	15	12	13	12	20	2	18	21	32	26	27	28	28	21	37	14	28	51	28	13	24	23	31	31	17	18	15	19	15	29	38	35	26	17	4	22	6	23	30	16	23	13	13	31	31	33	28	29	29	22	19	18	18	24	21	11	12	17	11	14	12	14	13	9	9	10	10	11	9	9	10	9	10	6	9	22	22	23	21	0	23	27	6	6	6	6	35	37	33	33	28	44	22	14	34	11
Velký Ořechov,,aut.st.[]	33	30	30	29	30	35	24	33	37	37	29	29	22	22	14	14	40	41	12	39	4	26	26	27	28	29	28	32	23	31	35	45	5	35	35	35	29	56	34	41	40	41	32	17	20	24	24	37	25	24	36	34	48	28	26	45	7	25	41	27	28	44	28	42	26	30	38	38	40	36	38	37	41	26	26	25	18	41	24	26	19	26	21	25	25	27	15	15	14	19	16	14	16	15	15	16	17	15	41	41	42	34	23	0	46	22	22	22	22	42	44	40	40	13	22	7	21	41	26
Veselí n.Mor.,,žel.st.[]	32	51	51	50	51	54	53	19	26	31	44	44	40	41	33	33	34	35	38	45	47	25	25	26	22	21	22	26	28	30	34	44	45	50	50	50	36	44	26	40	64	40	23	50	35	43	43	21	44	30	15	13	29	50	47	25	43	25	20	27	49	43	23	36	26	26	53	53	55	36	37	37	30	36	33	37	36	26	23	25	29	23	26	24	26	25	35	35	35	32	37	35	35	36	35	36	32	35	9	9	5	34	27	46	0	28	28	28	28	57	59	55	55	43	59	40	40	56	23
Vlčnov,,Araver[]	25	24	24	23	24	28	26	15	23	23	20	20	14	13	26	26	28	29	26	28	21	9	9	10	7	8	7	15	7	23	26	37	26	26	26	26	18	42	19	33	57	33	18	23	28	36	36	22	17	12	14	19	34	43	40	31	16	9	27	11	22	35	11	28	19	18	29	29	31	24	25	25	27	17	15	16	29	27	16	18	22	16	19	17	19	19	8	8	9	9	9	8	8	9	8	8	6	8	23	23	24	26	6	22	28	0	0	0	0	33	35	31	31	27	44	21	13	32	16
Vlčnov,,hor.konec[]	25	24	24	23	24	28	26	15	23	23	20	20	14	13	26	26	28	29	26	28	21	9	9	10	7	8	7	15	7	23	26	37	26	26	26	26	18	42	19	33	57	33	18	23	28	36	36	22	17	12	14	19	34	43	40	31	16	9	27	11	22	35	11	28	19	18	29	29	31	24	25	25	27	17	15	16	29	27	16	18	22	16	19	17	19	19	8	8	9	9	9	8	8	9	8	8	6	8	23	23	24	26	6	22	28	0	0	0	0	33	35	31	31	27	44	21	13	32	16
Vlčnov,,křiž.[]	25	24	24	23	24	28	26	15	23	23	20	20	14	13	26	26	28	29	26	28	21	9	9	10	7	8	7	15	7	23	26	37	26	26	26	26	18	42	19	33	57	33	18	23	28	36	36	22	17	12	14	19	34	43	40	31	16	9	27	11	22	35	11	28	19	18	29	29	31	24	25	25	27	17	15	16	29	27	16	18	22	16	19	17	19	19	8	8	9	9	9	8	8	9	8	8	6	8	23	23	24	26	6	22	28	0	0	0	0	33	35	31	31	27	44	21	13	32	16
Vlčnov,,sokolovna[]	25	24	24	23	24	28	26	15	23	23	20	20	14	13	26	26	28	29	26	28	21	9	9	10	7	8	7	15	7	23	26	37	26	26	26	26	18	42	19	33	57	33	18	23	28	36	36	22	17	12	14	19	34	43	40	31	16	9	27	11	22	35	11	28	19	18	29	29	31	24	25	25	27	17	15	16	29	27	16	18	22	16	19	17	19	19	8	8	9	9	9	8	8	9	8	8	6	8	23	23	24	26	6	22	28	0	0	0	0	33	35	31	31	27	44	21	13	32	16
Vyškovec,Hribovny,točna[]	54	23	23	22	23	18	27	39	51	51	15	15	20	21	48	48	56	57	46	25	41	32	33	34	39	40	39	38	35	51	54	65	45	14	14	14	31	71	48	61	80	61	47	37	54	58	58	50	28	28	47	49	62	68	65	60	36	37	55	39	30	63	35	57	47	47	10	10	8	33	35	34	55	22	25	21	51	55	44	46	50	44	47	45	47	47	28	28	29	29	28	29	28	28	28	26	31	28	55	55	56	54	35	42	57	33	33	33	33	0	3	12	12	47	62	41	31	13	44
Vyškovec[]	56	21	21	21	21	15	26	42	53	54	17	17	23	23	50	50	59	60	48	27	44	35	35	36	42	43	42	41	37	54	57	68	48	16	16	16	33	73	50	64	82	64	49	37	56	60	60	53	27	30	49	51	64	70	67	62	38	40	58	41	29	66	37	59	49	49	7	7	5	36	37	37	58	24	27	23	53	57	47	48	53	46	50	47	50	49	30	30	31	31	31	31	30	30	30	29	33	30	58	57	58	56	37	44	59	35	35	35	35	3	0	9	9	49	64	43	30	11	47
Vápenice,,Obecní úřad[]	52	16	16	17	16	11	22	37	49	49	13	13	19	19	46	46	54	55	44	23	40	31	31	32	38	38	37	37	33	49	53	63	44	12	12	12	29	69	46	60	78	60	45	33	52	56	56	49	23	26	45	47	60	66	63	58	34	35	53	37	25	61	33	55	45	45	3	3	5	32	33	33	54	20	23	19	49	53	43	44	49	42	46	43	45	45	26	26	27	27	27	27	26	26	26	25	29	26	53	53	54	52	33	40	55	31	31	31	31	12	9	0	1	45	60	39	26	6	43
Vápenice,,točna[]	52	16	16	17	16	11	22	38	49	50	13	13	19	19	46	46	55	55	44	23	40	31	31	32	38	39	38	37	33	49	53	64	44	12	12	12	29	69	46	60	78	60	45	33	52	56	56	49	23	26	45	47	60	66	63	58	34	35	54	37	25	62	33	55	45	45	3	3	5	32	33	33	54	20	23	19	49	53	43	44	49	42	46	43	46	45	26	26	27	27	27	27	26	26	26	25	29	26	54	53	54	52	33	40	55	31	31	31	31	12	9	1	0	45	60	39	26	6	43
Zlámanec[]	29	37	37	36	37	41	35	37	33	33	34	34	27	27	11	11	36	37	7	44	14	31	31	32	33	34	33	37	28	27	31	41	12	39	40	40	34	52	30	37	43	37	29	28	16	21	20	33	30	29	37	31	44	31	27	42	11	29	38	30	35	40	33	39	22	26	43	43	45	41	42	42	37	31	31	30	14	37	20	22	15	22	17	21	21	23	20	19	19	23	21	19	21	20	20	21	22	20	37	37	38	31	27	13	43	27	27	27	27	47	49	45	45	0	29	7	26	46	22
Zlín,,aut.nádr.[]	27	44	44	43	44	49	38	53	43	43	49	49	42	42	27	27	46	47	22	60	26	47	47	48	49	50	49	53	44	29	36	42	23	50	50	50	50	63	40	38	32	34	45	30	33	20	19	43	45	45	53	47	54	19	17	52	28	45	48	46	42	49	49	49	34	36	57	57	59	57	58	58	47	46	47	45	27	47	36	38	32	39	34	38	38	39	36	36	35	39	37	35	37	36	37	36	38	37	54	53	54	39	44	22	59	43	43	43	43	62	63	59	59	28	0	26	41	57	38
Částkov,,střed[]	26	31	31	30	31	35	29	31	30	30	28	28	21	21	7	7	33	34	5	38	8	25	25	26	27	28	27	31	22	24	28	38	6	33	34	34	28	49	27	34	40	34	25	22	13	17	17	30	24	23	34	28	41	28	24	39	5	24	35	26	29	37	27	35	19	23	37	37	39	35	36	36	34	25	25	24	11	34	17	19	12	19	14	18	18	20	14	13	13	17	15	13	15	14	14	15	16	14	34	34	35	27	21	7	39	21	21	21	21	41	43	39	39	7	27	0	20	40	19
Šumice,,škola[]	33	11	11	11	11	16	14	23	31	31	18	18	11	11	27	27	36	37	25	29	21	16	16	17	19	20	19	22	15	31	34	45	25	17	17	17	19	50	27	41	59	41	26	21	33	37	37	30	5	14	27	28	42	47	44	39	15	17	35	19	10	43	18	36	27	26	24	24	26	26	27	27	35	15	16	14	30	35	24	26	30	24	27	25	27	27	7	7	8	9	8	8	8	7	7	6	10	7	35	35	36	34	14	21	40	13	13	13	13	31	30	26	26	26	41	20	0	24	24
Žítková,,rekr.stř.[]	53	14	14	15	14	9	20	38	50	50	14	14	20	20	47	47	55	56	45	24	40	31	32	33	38	39	38	37	34	50	54	64	45	13	13	13	30	70	47	61	77	60	46	31	53	57	57	50	21	27	46	48	61	64	62	59	35	36	54	38	23	62	34	56	46	46	4	4	6	32	34	33	54	21	24	20	50	54	43	45	49	43	46	44	46	46	27	27	28	28	27	28	27	27	27	25	30	27	54	54	55	53	34	41	56	32	32	32	32	13	11	6	6	46	58	40	24	0	43
Uherské Hradiště,,garáže ČSAD[]	12	35	35	34	35	39	37	28	14	15	31	31	25	25	12	12	19	19	17	41	26	24	24	23	17	16	17	30	12	9	13	23	24	37	38	38	31	34	11	20	43	19	9	34	14	22	22	14	28	25	18	11	26	30	26	23	23	9	19	10	33	22	26	20	5	9	40	40	42	37	39	38	19	28	28	27	15	18	3	4	8	4	5	5	6	5	19	19	19	20	21	19	19	20	19	20	16	19	18	18	19	13	11	25	23	16	16	16	16	44	47	42	43	22	39	18	24	43	0
