Stop names	Praha,,Dvorce[]	Praha,,Kavčí hory[]	Praha,,Podolská vodárna[]	Praha,,Poliklinika Budějovická[]
Praha,,Dvorce[]	0	4	3	5
Praha,,Kavčí hory[]	4	0	4	4
Praha,,Podolská vodárna[]	3	4	0	6
Praha,,Poliklinika Budějovická[]	5	4	5	0
