"805002","1","","1","","","","","1";
"805002","2","","42","","","","","1";
"805002","3","","43","","","","","1";
"805002","4","","49","","","","","1";
"805002","5","","45","","","","","1";
"805002","6","","46","","","","","1";
"805002","7","","48","","","","","1";
"805002","8","","47","","","","","1";
"805002","9","","44","","","","","1";
"805002","10","","39","","","","","1";
"805002","11","","37","","","","","1";
"805002","12","","38","","","","","1";
"805002","13","","40","","","","","1";
"805002","14","","43","","","","","1";
"805002","15","","17","","","","","1";
"805002","16","","1","","","","","1";
"805003","1","","1","","","","","1";
"805003","2","","36","","","","","1";
"805003","3","","25","","","","","1";
"805003","4","","29","","","","","1";
"805003","5","","27","","","","","1";
"805003","6","","34","","","","","1";
"805003","7","","27","","","","","1";
"805003","8","","26","","","","","1";
"805003","9","","28","","","","","1";
"805003","10","","22","","","","","1";
"805003","11","","68","","","","","1";
"805003","12","","43","","","","","1";
"805003","13","","17","","","","","1";
"805003","14","","1","","","","","1";
"805004","1","","9","","","","","1";
"805004","2","","1","","","","","1";
"805004","3","","5","","","","","1";
"805004","4","","1","","","","","1";
"805004","5","","4","","","","","1";
"805004","6","","7","","","","","1";
"805004","7","","8","","","","","1";
"805004","8","","3","","","","","1";
"805004","9","","6","","","","","1";
"805004","10","","2","","","","","1";
"805004","1","","9","","","","","2";
"805004","2","","1","","","","","2";
"805004","3","","5","","","","","2";
"805004","4","","1","","","","","2";
"805004","5","","36","","","","","2";
"805004","6","","4","","","","","2";
"805004","7","","7","","","","","2";
"805004","8","","8","","","","","2";
"805004","9","","3","","","","","2";
"805004","10","","6","","","","","2";
"805004","11","","2","","","","","2";
"805005","1","","1","","","","","1";
"805005","2","","42","","","","","1";
"805005","3","","43","","","","","1";
"805005","4","","68","","","","","1";
"805005","5","","23","","","","","1";
"805005","6","","22","","","","","1";
"805005","7","","28","","","","","1";
"805005","8","","26","","","","","1";
"805005","9","","27","","","","","1";
"805005","10","","34","","","","","1";
"805005","11","","27","","","","","1";
"805005","12","","29","","","","","1";
"805005","13","","25","","","","","1";
"805005","14","","36","","","","","1";
"805005","15","","1","","","","","1";
"805006","1","","1","","","","","1";
"805006","2","","42","","","","","1";
"805006","3","","43","","","","","1";
"805006","4","","40","","","","","1";
"805006","5","","38","","","","","1";
"805006","6","","37","","","","","1";
"805006","7","","39","","","","","1";
"805006","8","","44","","","","","1";
"805006","9","","47","","","","","1";
"805006","10","","48","","","","","1";
"805006","11","","46","","","","","1";
"805006","12","","45","","","","","1";
"805006","13","","49","","","","","1";
"805006","14","","43","","","","","1";
"805006","15","","17","","","","","1";
"805006","16","","1","","","","","1";
"805007","1","","1","","","","","1";
"805007","2","","13","","","","","1";
"805007","3","","16","","","","","1";
"805007","4","","11","","","","","1";
"805007","5","","5","","","","","1";
"805007","6","","15","","","","","1";
"805007","7","","12","","","","","1";
"805007","8","","11","","","","","1";
"805007","9","","16","","","","","1";
"805007","10","","17","","","","","1";
"805007","11","","1","","","","","1";
"805008","1","","34","","","","","1";
"805008","2","","27","","","","","1";
"805008","3","","26","","","","","1";
"805008","4","","28","","","","","1";
"805008","5","","22","","","","","1";
"805008","6","","23","","","","","1";
"805008","7","","22","","","","","1";
"805008","8","","28","","","","","1";
"805008","9","","26","","","","","1";
"805008","10","","29","","","","","1";
"805008","11","","25","","","","","1";
"805008","12","","36","","","","","1";
"805008","13","","1","","","","","1";
"805008","14","","13","","","","","1";
"805008","15","","35","","","","","1";
"805008","16","","32","","","","","1";
"805008","17","","19","","","","","1";
"805008","18","","16","","","","","1";
"805008","19","","11","","","","","1";
"805008","20","","5","","","","","1";
"805008","21","","12","","","","","1";
"805008","22","","15","","","","","1";
"805008","1","","34","","","","","2";
"805008","2","","27","","","","","2";
"805008","3","","26","","","","","2";
"805008","4","","28","","","","","2";
"805008","5","","22","","","","","2";
"805008","6","","23","","","","","2";
"805008","7","","22","","","","","2";
"805008","8","","28","","","","","2";
"805008","9","","26","","","","","2";
"805008","10","","29","","","","","2";
"805008","11","","25","","","","","2";
"805008","12","","36","","","","","2";
"805008","13","","1","","","","","2";
"805008","14","","13","","","","","2";
"805008","15","","35","","","","","2";
"805008","16","","32","","","","","2";
"805008","17","","19","","","","","2";
"805008","18","","16","","","","","2";
"805008","19","","11","","","","","2";
"805008","20","","5","","","","","2";
"805008","21","","12","","","","","2";
"805008","22","","15","","","","","2";
"805009","1","","1","","","","","1";
"805009","2","","36","","","","","1";
"805009","3","","4","","","","","1";
"805009","4","","7","","","","","1";
"805009","5","","4","","","","","1";
"805009","6","","25","","","","","1";
"805009","7","","29","","","","","1";
"805009","8","","26","","","","","1";
"805009","9","","28","","","","","1";
"805009","10","","22","","","","","1";
"805009","11","","23","","","","","1";
"805009","12","","68","","","","","1";
"805009","13","","49","","","","","1";
"805009","14","","45","","","","","1";
"805009","15","","46","","","","","1";
"805009","16","","48","","","","","1";
"805009","17","","47","","","","","1";
"805009","18","","44","","","","","1";
"805009","19","","37","","","","","1";
"805009","20","","40","","","","","1";
"805009","21","","38","","","","","1";
"805009","22","","53","","","","","1";
"805009","23","","71","","","","","1";
"805009","24","","52","","","","","1";
"805009","25","","38","","","","","1";
"805009","26","","40","","","","","1";
"805009","27","","43","","","","","1";
"805009","28","","42","","","","","1";
"805009","29","","17","","","","","1";
"805009","30","","1","","","","","1";
