Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Strání,,U Popelků[]	41	42	41	41	39	47	45	14	45	48	26	28	25	25	43	42	49	50	46	12	39	13	12	14	19	19	18	15	25	39	44	54	44	32	29	33	8	72	42	50	87	49	36	41	47	48	49	47	37	14	25	30	58	60	56	54	35	33	51	29	45	51	10	61	36	38	35	38	37	0	1	4	50	20	18	21	45	49	32	36	39	33	36	34	37	38	26	26	27	20	28	28	24	27	25	27	26	34	38	39	38	42	23	41	43	21	17	19	18	38	41	37	39	44	64	38	32	49	30
Strání,,škola[]	42	43	42	42	40	48	46	15	46	49	27	29	26	26	44	43	50	51	47	13	40	14	13	15	20	20	19	16	26	40	45	55	45	33	30	34	9	73	43	51	88	50	37	42	48	49	50	48	38	15	26	31	59	61	57	55	36	34	52	30	46	52	11	62	37	39	36	39	38	1	0	3	51	21	19	22	46	50	33	37	40	34	37	35	38	39	27	27	28	21	29	29	25	28	26	28	27	35	39	40	39	43	24	42	44	22	18	20	19	39	42	38	40	45	65	39	33	50	31
Strání,Květná[]	45	46	45	45	43	51	49	18	49	52	30	32	29	29	47	46	53	54	50	16	43	17	16	18	23	23	22	19	29	43	48	58	48	36	33	37	12	76	46	54	91	53	40	45	51	52	53	51	41	18	29	34	62	64	60	58	39	37	55	33	49	55	14	65	40	42	39	42	41	4	3	0	54	24	22	25	49	53	36	40	43	37	40	38	41	42	30	30	31	24	32	32	28	31	29	31	30	38	42	43	42	46	27	45	47	25	21	23	22	42	45	41	43	48	68	42	36	53	34
Stříbrnice[]	21	63	62	61	59	67	65	43	5	11	52	54	48	47	29	28	18	19	32	62	42	39	38	40	33	31	32	45	32	19	19	34	41	58	55	59	56	35	17	30	67	29	27	57	33	28	29	21	53	50	34	29	8	40	36	14	38	33	16	32	61	29	40	24	22	12	61	64	63	50	51	54	0	52	54	51	31	9	18	22	25	23	22	24	24	24	42	42	43	44	44	43	40	43	44	43	38	50	37	38	37	20	30	42	42	32	36	34	35	64	67	63	65	38	51	35	48	75	20
Suchá Loz,,ZD[]	43	25	24	24	22	30	28	26	47	50	9	8	5	5	34	33	51	52	37	22	27	19	20	22	27	27	26	27	20	41	46	56	32	15	12	16	12	74	44	52	82	51	35	29	40	44	43	49	21	6	33	38	60	55	50	56	23	32	53	28	29	53	22	63	38	40	18	21	20	20	21	24	52	0	2	1	36	51	34	38	41	35	38	36	39	40	14	14	15	12	16	16	12	15	16	11	14	22	46	47	46	44	22	29	51	23	23	21	22	21	24	20	22	32	52	26	16	32	32
Suchá Loz,Volenov[]	45	27	26	26	24	32	30	24	49	52	11	10	7	7	36	35	53	54	39	20	29	17	18	20	25	25	24	25	22	43	48	58	34	17	14	18	10	76	46	54	84	53	37	31	42	46	45	51	23	4	31	36	62	57	52	58	25	34	55	30	31	55	20	65	40	42	20	23	22	18	19	22	54	2	0	3	38	53	36	40	43	37	40	38	41	42	16	16	17	10	18	18	14	17	15	13	16	24	44	45	44	46	24	31	49	25	21	23	22	23	26	22	24	34	54	28	18	34	34
Suchá Loz[]	42	24	23	23	21	29	27	27	46	49	8	7	4	4	33	32	50	51	36	22	26	20	21	23	27	27	26	28	19	40	45	55	31	14	11	15	13	73	43	51	81	50	34	28	39	43	42	48	20	7	33	38	59	54	49	55	22	31	52	27	28	52	23	62	37	39	17	20	19	21	22	25	51	1	3	0	35	50	33	37	40	34	37	35	38	39	13	13	14	13	15	15	11	14	15	10	13	21	46	47	46	43	21	28	51	22	22	20	21	20	23	19	21	31	51	25	15	31	31
Topolná[]	15	47	46	45	43	51	49	38	26	29	36	38	32	31	4	3	30	31	7	50	17	34	33	35	28	26	27	40	27	17	25	32	16	42	39	43	40	53	23	28	46	23	22	41	10	8	7	28	37	34	29	24	39	19	14	35	13	28	32	27	45	32	35	42	17	19	45	48	47	45	46	49	31	36	38	35	0	30	13	17	12	18	9	17	19	19	23	22	21	28	24	25	24	23	28	27	26	30	32	33	32	23	25	17	37	27	31	29	30	48	51	47	49	13	26	10	32	59	15
Tučapy[]	20	62	61	60	58	66	64	42	4	10	51	53	47	46	28	27	17	18	31	61	41	38	37	39	32	30	31	44	31	18	18	33	40	57	54	58	55	34	16	29	66	28	26	56	32	27	28	12	52	49	33	28	17	39	35	5	37	32	7	31	60	28	39	23	21	11	60	63	62	49	50	53	9	51	53	50	30	0	17	21	24	22	21	23	23	23	41	41	42	43	43	42	39	42	43	42	37	49	36	37	36	19	29	41	41	31	35	33	34	63	66	62	64	37	50	34	47	74	19
Uherské Hradiště,,aut.nádr.[]	9	45	44	43	41	49	47	25	13	16	34	36	30	29	11	10	17	18	14	44	24	21	20	22	15	13	14	27	14	7	12	22	23	40	37	41	38	40	10	18	55	17	9	39	15	16	17	15	35	32	16	11	26	28	24	22	20	15	19	14	43	19	22	29	4	6	43	46	45	32	33	36	18	34	36	33	13	17	0	4	7	5	4	6	6	6	24	24	25	26	26	25	22	25	26	25	20	32	19	20	19	10	12	24	24	14	18	16	17	46	49	45	47	20	33	17	30	57	2
