"100134","1","P","18","","","","","1";
"100134","2","P","11","","18","","","1";
"100134","3","P","14","","18","","","1";
"100134","4","P","6","","","","","1";
"100134","5","P","9","","18","","","1";
"100134","6","P","16","","18","","","1";
"100134","7","P","13","","18","","","1";
"100134","8","P","15","","18","","","1";
"100134","9","P","7","","","","","1";
"100134","10","P","5","","","","","1";
"100134","11","P","5","","","","","1";
"100134","12","P","8","","18","","","1";
"100134","13","P","1","","","","","1";
"100134","14","P","4","","","","","1";
"100134","15","P","3","","18","","","1";
"100134","16","P","2","","","","","1";
"100134","17","P","17","","18","","","1";
"100134","18","P","22","","18","","","1";
"100134","19","P","23","","18","","","1";
"100134","20","P","19","","18","","","1";
"100134","21","P","10","","18","","","1";
"100134","22","P","20","","18","","","1";
"100134","23","P","21","","18","","","1";
"100134","24","P","12","","18","","","1";
"100134","25","P","12","","","","","1";
